id,command,lastname,firstname,rank,badge_no
000001,001 DET,ACCARDI,RICHARD,Police Officer,18377
000004,001 DET,BASCOM,ALISTAIR,Detective,04557
000005,001 DET,BERNABE,GIOCARDO,Detective,01245
000017,001 DET,EYSEL,ROBERT,Police Officer,03057
000022,001 DET,GERMAN,ANTONIO,Detective,04066
000024,001 DET,GUERRA,ANNMARIE,Sergeant,03142
000029,001 DET,LAZARUS,THOMAS,Detective,06837
000032,001 DET,MACEWEN,DOUGLAS,Detective,04543
000037,001 DET,MENONI,CHRISTIAN,Detective,03395
000040,001 DET,OKONEK,DAVID,Detective,06203
000041,001 DET,ORTIZ,KHARLOZ,Detective,03435
000043,001 DET,ROSELLO,KENNETH,Detective,05403
000044,001 DET,RUSSO,STEPHEN,Detective,03562
000046,001 DET,THOMAS,ENOCH,Police Officer,15108
000049,001 DET,VITARELLI,ALBERT,Detective,03966
000051,001 PCT,ADELSON,MICHAEL,Police Officer,18821
000053,001 PCT,AGUIRRE,DIEGO,Police Officer,24483
000054,001 PCT,AHMED,SHEHROZ,Police Officer,08188
000056,001 PCT,ALCANTARA,CHRISTIAN,Lieutenant,00000
000058,001 PCT,ALONSO,SARAH,Police Officer,22154
000061,001 PCT,ANDRADE,MICHAEL,Police Officer,00114
000062,001 PCT,ANDREW,VINORD,Police Officer,11378
000065,001 PCT,ATALLAH,ISLAM,Police Officer,09034
000067,001 PCT,AVDIC,ALEXANDER,Sergeant,01089
000068,001 PCT,AZZOLINO,NICHOLAS,Police Officer,20550
000070,001 PCT,BARBELLA,JOSEPH,Police Officer,01728
000071,001 PCT,BARCENAS,KEVIN,Police Officer,23572
000072,001 PCT,BAROZ,MICHAEL,Police Officer,00265
000073,001 PCT,BASQUEZ,DAVID,Sergeant,00894
000075,001 PCT,BAZELAIS,BRADLEY,Police Officer,03820
000076,001 PCT,BELLO,JOSEPH,Lieutenant,00000
000078,001 PCT,BELLOMO,JOSEPH,Police Officer,24336
000080,001 PCT,BIANCHINI,JASON,Sergeant,04743
000082,001 PCT,BODDEN,DINAH,Police Officer,18500
000084,001 PCT,BORGELLA,SAMUEL,Police Officer,25781
000091,001 PCT,BRIER,ROBERT,Police Officer,21510
000092,001 PCT,BRUCCOLERI,NICHOLAS,Police Officer,07749
000094,001 PCT,BUMBREY,DEIDRA,Police Officer,19331
000096,001 PCT,BURKE,MICHAEL,Police Officer,08036
000101,001 PCT,CAMPBELL,PAUL,Police Officer,25364
000102,001 PCT,CAPUTO,CHRISTOPHER,Police Officer,19007
000103,001 PCT,CARABALLO,ABRAHAM,Sergeant,03921
000105,001 PCT,CAREW,PATRICK,Police Officer,29910
000106,001 PCT,CARO,DAVID,Police Officer,19012
000108,001 PCT,CASTRO,DANIEL,Police Officer,01441
000109,001 PCT,CAWTHORNE,DANIEL,Sergeant,01183
000110,001 PCT,CHAN,JONATHAN,Police Officer,27708
000113,001 PCT,CHO,BYUNG,Lieutenant,00000
000115,001 PCT,CHOWDHURY,FIAZ,Police Officer,29244
000117,001 PCT,CHRISTOFILAKES,VANESSA,Police Officer,05179
000123,001 PCT,COBAJ,ADRIAN,Police Officer,16761
000130,001 PCT,CORRADO,MICHAEL,Sergeant,02518
000133,001 PCT,CUMMINGS,EUGENE,Sergeant,02341
